Municipio	Capital	Entidad federal	Población (2021)	Capital_pob	Superficie(km²)	Densidad(hab./km²)
Autónomo Alto Orinoco	La Esmeralda	Amazonas	14 492	14 492	50 850	0.28
Autónomo Atabapo	San Fernando de Atabapo	Amazonas	10 667	10 667	25 900	0.41
Autónomo Atures	Puerto Ayacucho	Amazonas	128 153	128 153	4500	28.47
Autónomo Autana	Isla Ratón	Amazonas	9620	9620	15 750	0.61
Autónomo Manapiare	San Juan de Manapiare	Amazonas	8841	8841	33 100	0.26
Autónomo Maroa	Maroa	Amazonas	2326	2326	14 250	0.16
Autónomo Rio Negro	San Carlos de Río Negro	Amazonas	2581	2581	39 150	0.06
Anaco	Anaco	Anzoátegui	162 556	152 672	795	204.47
Aragua	Aragua de Barcelona	Anzoátegui	35 659	34 416	2624	13.58
Diego Bautista Urbaneja	Lecherías	Anzoátegui	43 907	43 907	12	3658.91
Fernando de Peñalver	Puerto Píritu	Anzoátegui	40 729	33 410	643	63.34
Francisco de Miranda - Anzoátegui	Pariaguán	Anzoátegui	50 181	43 177	5334	9.40
Francisco del Carmen Carvajal	Valle de Guanape	Anzoátegui	20 804	19 275	125	166.43
Guanta	Guanta	Anzoátegui	38 200	21 921	67	570.14
Independencia - Anzoátegui	Soledad	Anzoátegui	41 745	30 941	5929	7.04
José Gregorio Monagas	Mapire	Anzoátegui	21 731	5125	9176	2.36
Juan Antonio Sotillo	Puerto La Cruz	Anzoátegui	296 899	189 943	244	1216.79
Juan Manuel Cajigal	Onoto	Anzoátegui	18 471	14 831	1741	10.60
Libertad - Anzoátegui	San Mateo	Anzoátegui	20 278	14 050	2043	9.92
Manuel Ezequiel Bruzual	Clarines	Anzoátegui	39 609	23 457	1566	25.29
Pedro María Freites	Cantaura	Anzoátegui	88 795	70 221	7153	12.41
Piritu - Anzoátegui	Píritu	Anzoátegui	30 146	28 978	225	133.98
San José de Guanipa	San José de Guanipa	Anzoátegui	98 940	98 940	792	124.92
San Juan de Capistrano	Boca de Uchire	Anzoátegui	12 886	11 681	123	104.76
Santa Ana	Santa Ana	Anzoátegui	12 659	12 070	1184	10.69
Simón Bolívar - Anzoátegui	Barcelona	Anzoátegui	516 904	472 023	1706	302.99
Simón Rodríguez - Anzoátegui	El Tigre	Anzoátegui	216 175	216 175	703	307.50
Sir Arthur Mc Gregor	El Chaparro	Anzoátegui	12 243	10 836	1115	10.98
Achaguas	Achaguas	Apure	72 802	41 738	15 754	4.62
Biruaca	Biruaca	Apure	66 782	66 782	1281	52.13
Muñoz	Bruzual	Apure	34 703	8733	7925	4.37
Páez - Apure	Guasdualito	Apure	122 130	61 180	12 820	9.52
Pedro Camejo	San Juan de Payara	Apure	35 931	13 752	20 519	1.75
Rómulo Gallegos - Apure	Elorza	Apure	31 763	26 232	12 219	2.59
San Fernando	San Fernando de Apure	Apure	218 583	164 489	5982	36.54
Bolívar - Aragua	San Mateo	Aragua	44 733	44 733	58	771.25
Camatagua	Camatagua	Aragua	27 991	20 518	780	35.88
Francisco Linares Alcántara	Santa Rita	Aragua	149 360	111 242	24	6223.33
Girardot - Aragua	Maracay	Aragua	469 371	460 380	302	1554.20
José Ángel Lamas	Santa Cruz	Aragua	39 191	39 191	20	1959.55
José Félix Ribas - Aragua	La Victoria	Aragua	175 108	64 185	419	417.91
José Rafael Revenga	El Consejo	Aragua	64 200	64 200	192	334.37
Libertador - Aragua	Palo Negro	Aragua	158 616	72 578	52	3050.30
Mario Briceño Iragorri	El Limón	Aragua	136 784	41 153	53	2580.83
