id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B38977236110472,ve_miranda_acevedo,Acevedo,Municipio Acevedo,VE-M,Miranda,miranda__acevedo,108299,1879,57.63,89673,99810,104150,108329,246501,320.54,0.765,1583.28,6423
92452058B57596479619194,ve_apure_achaguas,Achaguas,Municipio Achaguas,VE-C,Apure,apure__achaguas,72802,15754,4.62,64856,80534,89748,116441,93015,12887.38,0.569,162.03,1742
92452058B11954780234519,ve_portuguesa_agua_blanca,Agua Blanca,Municipio Agua Blanca,VE-P,Portuguesa,portuguesa__agua blanca,26512,199,133.22,21012,24496,26481,31897,,,,,
92452058B20734367983151,ve_monagas_aguasay,Aguasay,Municipio Aguasay,VE-N,Monagas,monagas__aguasay,16739,2504,6.68,11647,13308,14061,16291,,,,,
92452058B83946856745535,ve_merida_alberto_adriani,Alberto Adriani,Municipio Alberto Adriani,VE-L,Mérida,merida__alberto adriani,164330,683,240.6,136997,165458,181535,217249,46955,546.9,0.679,169.27,3605
92452058B22632362075175,ve_barinas_alberto_arvelo_torrealba,Alberto Arvelo Torrealba,Municipio Alberto Arvelo Torrealba,VE-E,Barinas,barinas__alberto arvelo torrealba,54133,769,70.39,40152,47869,52108,62958,,,,,
92452058B38768688631563,ve_anzoategui_anaco,Anaco,Municipio Anaco,VE-B,Anzoátegui,anzoategui__anaco,162556,795,204.47,130535,150478,161660,185719,74601,2127.72,0.69,289.9,3886
92452058B98875483329913,ve_sucre_andres_mata,Andrés Mata,Municipio Andrés Mata,VE-R,Sucre,sucre__andres mata,24818,454,54.66,20416,23811,25777,32031,,,,,
92452058B1998456811231,ve_nueva_esparta_antolin_del_campo,Antolín del Campo,Municipio Antolín del Campo,VE-O,Nueva Esparta,nueva esparta__antolin del campo,35830,72,497.63,,,,,,,,,
92452058B74293045430698,ve_delta_amacuro_antonio_diaz,Antonio Díaz,Municipio Antonio Díaz,VE-Y,Delta Amacuro,delta amacuro__antonio diaz,42417,22746,7.86,26516,33388,38254,73444,,,,,
92452058B75275574170386,ve_barinas_antonio_jose_de_sucre,Antonio José de Sucre,Municipio Antonio José de Sucre,VE-E,Barinas,barinas__antonio jose de sucre,96337,2975,32.38,77712,90620,97339,111484,,,,,
92452058B76772094645860,ve_merida_antonio_pinto_salinas,Antonio Pinto Salinas,Municipio Antonio Pinto Salinas,VE-L,Mérida,merida__antonio pinto salinas,31073,348,89.29,24277,29115,31810,37451,124860,3949.82,0.67,426.52,3416
92452058B88247068668405,ve_tachira_antonio_romulo_costa,Antonio Rómulo Costa,Municipio Antonio Rómulo Costa,VE-S,Táchira,tachira__antonio romulo costa,13333,146,91.32,10378,11288,11805,14202,,,,,
92452058B2608246233639,ve_cojedes_anzoategui,Anzoátegui,Municipio Anzoátegui,VE-H,Cojedes,cojedes__anzoategui,23019,831,27.7,16762,18775,19820,23452,,,,,
92452058B83392643498369,ve_anzoategui_aragua,Aragua,Municipio Aragua,VE-B,Anzoátegui,anzoategui__aragua,35659,2624,13.58,28859,35409,39490,52667,52339,1690.74,0.7,218.04,4166
92452058B8973005468773,ve_portuguesa_araure,Araure,Municipio Araure,VE-P,Portuguesa,portuguesa__araure,180812,640,282.51,166288,198267,216694,266775,,,,,
92452058B92699654861711,ve_merida_aricagua,Aricagua,Municipio Aricagua,VE-L,Mérida,merida__aricagua,6119,790,7.74,4259,5068,5512,6371,23086,526.36,0.634,62.01,2686
92452058B45353491303676,ve_yaracuy_aristides_bastidas,Arístides Bastidas,Municipio Arístides Bastidas,VE-U,Yaracuy,yaracuy__aristides bastidas,25234,74,341,21114,25548,28136,35267,,,,,
92452058B11237040354260,ve_merida_arzobispo_chacon,Arzobispo Chacón,Municipio Arzobispo Chacón,VE-L,Mérida,merida__arzobispo chacon,15478,1659,9.32,13206,15648,16975,19419,23048,458.33,0.637,63.06,2736
92452058B65922817978550,ve_amazonas_autonomo_alto_orinoco,Autónomo Alto Orinoco,Municipio Autónomo Alto Orinoco,VE-Z,Amazonas,amazonas__autonomo alto orinoco,14492,50850,0.28,12814,16074,18222,28127,31950,26164.83,0.579,59.36,1858
92452058B96252003881726,ve_amazonas_autonomo_atabapo,Autónomo Atabapo,Municipio Autónomo Atabapo,VE-Z,Amazonas,amazonas__autonomo atabapo,10667,25900,0.41,9348,11929,13669,22083,27149,23618.29,0.591,54.65,2013
92452058B12581966052082,ve_amazonas_autonomo_atures,Autónomo Atures,Municipio Autónomo Atures,VE-Z,Amazonas,amazonas__autonomo atures,128153,4500,28.47,111194,147924,171537,260628,87111,8880.85,0.655,269.35,3092
92452058B84571882758287,ve_amazonas_autonomo_autana,Autónomo Autana,Municipio Autónomo Autana,VE-Z,Amazonas,amazonas__autonomo autana,9620,15750,0.61,8821,11347,13066,21538,8280,20673.18,0.619,20.02,2418
92452058B42172892239758,ve_amazonas_autonomo_manapiare,Autónomo Manapiare,Municipio Autónomo Manapiare,VE-Z,Amazonas,amazonas__autonomo manapiare,8841,33100,0.26,7966,10040,11418,17904,2291,14464.32,0.593,4.69,2045
92452058B1963066211404,ve_amazonas_autonomo_maroa,Autónomo Maroa,Municipio Autónomo Maroa,VE-Z,Amazonas,amazonas__autonomo maroa,2326,14250,0.16,2050,2641,3046,5058,5075,14464.73,0.599,10.79,2126
92452058B35318903418648,ve_amazonas_autonomo_rio_negro,Autónomo Río Negro,Municipio Autónomo Río Negro,VE-Z,Amazonas,amazonas__autonomo rio negro,2581,39150,0.06,2326,2938,3350,5315,18144,69350.8,0.615,42.96,2368
92452058B12744919392555,ve_tachira_ayacucho,Ayacucho,Municipio Ayacucho,VE-S,Táchira,tachira__ayacucho,67590,507,133.31,58134,62513,64931,75961,,,,,
92452058B6439374620840,ve_zulia_baralt,Baralt,Municipio Baralt,VE-V,Zulia,zulia__baralt,112432,2211,50.85,90634,105877,114166,139560,306559,2992.93,0.74,1662.47,5423
92452058B44291856842988,ve_barinas_barinas,Barinas,Municipio Barinas,VE-E,Barinas,barinas__barinas,555578,3304,149.99,351036,427863,471914,600501,478935,1760,0.664,1563.72,3265
92452058B98941669377363,ve_miranda_baruta,Baruta,Municipio Baruta,VE-M,Miranda,miranda__baruta,273755,86,3183.19,335557,377558,396537,423229,234465,346.35,0.741,1280.41,5461
92452058B13726471401889,ve_carabobo_bejuma,Bejuma,Municipio Bejuma,VE-G,Carabobo,carabobo__bejuma,56275,469,119.98,47811,53496,56142,63409,263890,324.48,0.74,1437.41,5447
92452058B36691786068251,ve_sucre_benitez,Benítez,Municipio Benítez,VE-R,Sucre,sucre__benitez,38501,2733,14.08,32735,37542,40236,48024,,,,,
92452058B25789635219154,ve_sucre_bermudez,Bermúdez,Municipio Bermúdez,VE-R,Sucre,sucre__bermudez,170052,203,837.69,145850,167187,179131,213539,,,,,
92452058B20804490373380,ve_apure_biruaca,Biruaca,Municipio Biruaca,VE-C,Apure,apure__biruaca,66782,1281,52.13,61522,76553,85420,111391,50523,8857.58,0.546,75.33,1491
92452058B89474674930128,ve_trujillo_bocono,Boconó,Municipio Boconó,VE-T,Trujillo,trujillo__bocono,103717,1365,75.98,91387,109078,118833,140900,,,,,
92452058B25759098564616,ve_miranda_brion,Brión,Municipio Brión,VE-M,Miranda,miranda__brion,72520,531,136.57,62643,69938,73111,76604,161883,310.02,0.759,996.71,6157
92452058B76566791733610,ve_yaracuy_bruzual,Bruzual,Municipio Bruzual,VE-U,Yaracuy,yaracuy__bruzual,83862,417,201.1,73039,86161,93451,110188,,,,,
92452058B24669849330150,ve_falcon_buchivacoa,Buchivacoa,Municipio Buchivacoa,VE-I,Falcón,falcon__buchivacoa,27932,2657,10.51,22991,27170,29554,35567,,,,,
92452058B89590794968656,ve_miranda_buroz,Buroz,Municipio Buroz,VE-M,Miranda,miranda__buroz,34203,198,172.74,27866,30918,32202,33240,94407,349.2,0.742,520.65,5515
