iso,name,muni_count,poblacion_2010,poblacion_2020,poblacion_2026,poblacion_2050,poblacion_2021,area_km2,densidad,capital,idh,pib_total_mm_usd,pib_per_capita_usd
VE-M,Miranda,21,2965006,3323073,3481983,3682564,3208636,7950,1734.41,,0.75,22752.05,5923.08
VE-C,Apure,7,402012,500065,557857,726620,582694,76500,22.76,,0.61,1235.73,2455.88
VE-P,Portuguesa,14,913369,1070599,1159398,1388222,1078934,15200,206.38,,,,
VE-N,Monagas,13,895726,1031761,1095009,1287326,1112541,28900,83.79,,,,
VE-L,Mérida,23,885169,1059925,1157090,1358428,1018219,11300,187.61,,0.69,3845.39,3910.71
VE-E,Barinas,12,799807,961181,1051372,1295717,1063351,35200,86.65,,0.66,1563.72,3265
VE-B,Anzoátegui,21,1539920,1777816,1912719,2219110,1819517,43300,455,,0.68,8456.21,3796.58
VE-R,Sucre,15,950915,1107108,1197179,1479359,1117917,11800,271.85,,0.65,1029.08,2974
VE-O,Nueva Esparta,11,,,,,602114,1151,1178.17,,,,
VE-Y,Delta Amacuro,4,167247,210408,240605,453259,240264,40200,12.13,,,,
VE-S,Táchira,29,1186016,1279248,1331187,1569196,1376292,10812,529.72,,,,
VE-H,Cojedes,9,211566,249313,271442,364107,432739,14800,87.9,,,,
VE-U,Yaracuy,14,629674,752895,823385,1004670,756550,7100,262.96,,,,
VE-Z,Amazonas,7,154519,202893,234308,360653,176680,183500,20.75,,0.64,461.82,2813.25
VE-V,Zulia,21,3711293,4290108,4597538,5488545,4432419,50230,1852.78,,0.75,29695.06,5960.7
VE-G,Carabobo,14,2299125,2566822,2690095,3020367,2665080,4369,1203.84,,0.76,18660.06,6651.54
VE-T,Trujillo,20,744874,880815,954472,1109799,886582,7400,316.74,,0.65,946.79,2971
VE-I,Falcón,25,938503,1093346,1179004,1369065,1137315,24800,187.92,,0.68,1652.95,3719
VE-J,Guárico,15,783996,959618,1062368,1304983,927775,64986,31.56,,,,
VE-D,Aragua,17,1696690,1870926,1952859,2178668,2006315,6580,1575.09,,0.68,8859.06,3748
VE-F,Bolívar,11,1559768,1837864,1994099,2320525,1674642,240528,273.04,,0.69,4122.16,3968.32
VE-K,Lara,9,,,,,2133205,19800,321.78,,0.71,9955.17,4609.22
VE-A,Distrito Capital,1,2070927,2090479,2099223,2066367,2277972,433,5260.9,,0.79,16493.4,7497
VE-GE,Guayana Esequiba,1,,,,,,,,,0.59,479.71,1998.78
VE-X,La Guaira,1,350553,382123,402905,540516,448894,1171,383.34,,0.75,2562.56,5824
VE-W,Dependencias Federales,1,,,,,,,,,,,
